Date,Open,High,Low,Close,Adj Close,Volume
2/10/2021,36,36.200001,35.439999,36.060001,35.966412,117500
2/11/2021,36.189999,36.810001,36.049999,36.57,36.475086,160300
2/12/2021,36.560001,36.700001,36.02,36.580002,36.485062,115100
2/16/2021,36.849998,36.849998,35.09,35.299999,35.208382,106200
2/17/2021,34.709999,34.810001,33.689999,34.790001,34.699707,90100
2/18/2021,34.630001,35.23,32.740002,34.34,34.250874,331300
2/19/2021,34.709999,34.919998,34.209999,34.459999,34.370564,96100
2/22/2021,34.130001,35.240002,34.130001,34.700001,34.609943,120400
2/23/2021,34.34,34.830002,33.740002,33.799999,33.712276,147800
2/24/2021,33.799999,34.119999,33.529999,33.860001,33.772121,104600
2/25/2021,33.849998,33.990002,33.130001,33.27,33.183651,80200
2/26/2021,33.049999,33.509998,32.709999,32.959999,32.874454,151300
3/1/2021,33.549999,34.18,33.549999,34.169998,34.081314,77800
3/2/2021,34.110001,34.41,33.369999,33.650002,33.562668,80300
3/3/2021,33.990002,34.25,33.450001,33.880001,33.792068,71700
3/4/2021,33.650002,33.959999,33.060001,33.23,33.143757,107000
3/5/2021,33.580002,34.119999,32.779999,34.060001,33.971603,114900
3/8/2021,34.950001,36.34,34.529999,36.060001,35.966412,129400
3/9/2021,36.330002,36.330002,35.689999,35.790001,35.697113,114400
3/10/2021,35.900002,36.84,35.869999,36.790001,36.694519,102200
3/11/2021,36.720001,36.939999,36.349998,36.52,36.425217,120900
3/12/2021,36.75,36.860001,36.080002,36.139999,36.046204,117500
3/15/2021,36,36.48,35.200001,36.48,36.385319,114200
3/16/2021,36.419998,36.5,35.549999,36.049999,35.956436,72200
3/17/2021,36.23,36.52,35.580002,36.27,36.175865,66000
3/18/2021,36.119999,36.959999,36.119999,36.810001,36.714466,91100
3/19/2021,36.82,38.220001,36.73,36.82,36.724438,391600
3/22/2021,36.950001,37.130001,36.099998,36.549999,36.455139,113000
3/23/2021,36.240002,36.52,35.27,35.380001,35.288177,111400
3/24/2021,35.790001,36.16,34.549999,34.650002,34.560074,119000
3/25/2021,34.389999,35.060001,33.709999,34.939999,34.849316,75700
3/26/2021,35.119999,35.290001,34.669998,35.240002,35.14854,54100
3/29/2021,34.959999,35.57,34.91,35.099998,35.0089,83300
3/30/2021,35.189999,35.68,34.950001,35.110001,35.018879,87100
3/31/2021,35.349998,36.48,34.98,35.189999,35.098667,221800
4/1/2021,35.27,36.34,35.099998,36.139999,36.046204,111400
4/5/2021,36.580002,36.849998,36.200001,36.529999,36.435188,114000
4/6/2021,36.650002,36.93,36.349998,36.66,36.564854,66100
4/7/2021,36.549999,36.68,35.57,35.759998,35.667187,83300
4/8/2021,35.75,35.790001,34.91,35.32,35.228333,116200
4/9/2021,35.380001,35.419998,35.09,35.220001,35.128593,52600
4/12/2021,35.130001,35.34,34.869999,35.23,35.138565,43200
4/13/2021,35.119999,35.610001,34.959999,35.279999,35.188435,53900
4/14/2021,35.25,36.389999,35.130001,36.099998,36.006306,84500
4/15/2021,36.290001,36.290001,35.25,35.5,35.407864,33800
4/16/2021,35.77,35.91,35.25,35.830002,35.737011,52100
4/19/2021,35.700001,36.119999,35.299999,35.84,35.746983,75500
4/20/2021,36.009998,36.139999,35.23,35.990002,35.896595,104600
4/21/2021,36.080002,36.639999,35.830002,36.029999,35.936489,55000
4/22/2021,36.900002,38.209999,36.380001,37.689999,37.592178,184800
4/23/2021,38.34,38.990002,37.77,37.919998,37.821583,107400
4/26/2021,38.279999,38.279999,37.549999,37.77,37.671974,172200
4/27/2021,37.93,38.18,37.630001,37.73,37.632076,85500
4/28/2021,37.790001,38.299999,37.310001,38.23,38.130779,63700
4/29/2021,38.34,38.34,37.59,37.810001,37.711872,53000
4/30/2021,37.630001,37.630001,36.880001,37.18,37.083504,76900
5/3/2021,37.220001,37.880001,37.220001,37.73,37.632076,51300
5/4/2021,37.630001,37.959999,37.349998,37.630001,37.532337,87900
5/5/2021,38.560001,38.790001,38.389999,38.619999,38.519768,54900
5/6/2021,38.619999,38.75,38.09,38.529999,38.43,56200
5/7/2021,38.5,39.209999,38.439999,38.639999,38.639999,41800
5/10/2021,38.5,38.619999,37.869999,37.869999,37.869999,74500
5/11/2021,37.75,37.75,36.84,37.150002,37.150002,65700
5/12/2021,37.139999,37.369999,36.549999,36.580002,36.580002,58400
5/13/2021,36.5,37.209999,36.5,37.119999,37.119999,31000
5/14/2021,37.77,38.130001,37.290001,38.049999,38.049999,85700
5/17/2021,37.919998,38.41,37.630001,37.93,37.93,48700
5/18/2021,37.889999,38.290001,37.41,37.439999,37.439999,104100
5/19/2021,37.169998,37.459999,36.709999,37.439999,37.439999,69900
5/20/2021,37.57,38.209999,37.380001,37.950001,37.950001,62400
5/21/2021,38.139999,38.43,38.029999,38.25,38.25,55300
5/24/2021,38.34,38.610001,38.18,38.25,38.25,56400
5/25/2021,38.23,38.419998,37.220001,37.23,37.23,68800
5/26/2021,37.23,37.700001,37.099998,37.490002,37.490002,60200
5/27/2021,37.970001,38.59,37.93,38.259998,38.259998,125700
5/28/2021,38.48,38.48,37.900002,38.360001,38.360001,44000
6/1/2021,38.599998,39.130001,38.389999,38.779999,38.779999,65500
6/2/2021,39,39,38.02,38.080002,38.080002,47600
6/3/2021,37.880001,37.880001,37.360001,37.75,37.75,69700
6/4/2021,37.779999,38.240002,37.48,38.040001,38.040001,71300
6/7/2021,38.040001,38.66,38.009998,38.470001,38.470001,52000
